id,gender,mastercategory,subcategory,articletype,basecolour,season,year,usage,productdisplayname
18839,men,accessories,belts,belts,Black,fall,2011.0,formal,Peter England Men Formal Black Belt
2886,women,footwear,shoes,flats,Brown,winter,2015.0,casual,Catwalk Women Leather Brown Flats
23278,men,accessories,watches,watches,Off White,winter,2016.0,casual,Maxima Ssteele Men Off White Watch
28690,women,apparel,topwear,kurtas,Beige,summer,2012.0,ethnic,W Women Printed Beige Kurta
8580,men,apparel,topwear,waistcoat,Grey,fall,2011.0,casual,Scullers Men  Grey Waistcoat
3168,men,footwear,shoes,sports shoes,White,fall,2010.0,sports,Nike Men's Incinerate MSL White Blue Shoe
18005,men,apparel,bottomwear,shorts,Black,summer,2011.0,sports,Puma Men Long Logo Black Bermuda
17871,men,apparel,innerwear,briefs,Maroon,winter,2016.0,casual,Levis Men Boxer Maroon Brief
9452,men,apparel,topwear,shirts,Red,fall,2011.0,formal,John Miller Men Stripes White Red Shirts
38402,women,accessories,belts,belts,Black,summer,2012.0,casual,Baggit Women Hood Dabang Black Belt
44984,women,accessories,watches,watches,White,winter,2016.0,casual,Maxima Women White Dial Watch
10268,men,footwear,shoes,formal shoes,Black,fall,2012.0,formal,Clarks Men Hang Work Leather Black Formal Shoes
45856,women,apparel,topwear,kurtas,Brown,summer,2012.0,ethnic,Vishudh Women Brown Kurta
32138,men,apparel,innerwear,briefs,Blue,summer,2016.0,casual,Playboy Men Blue Titanium Briefs
59435,men,footwear,shoes,formal shoes,Black,summer,2012.0,formal,Arrow Men Black Formal Shoes
5891,men,apparel,topwear,tshirts,Black,summer,2011.0,casual,Puma Men's Stripe Polo Black T-shirt
38630,women,apparel,topwear,tshirts,Purple,summer,2012.0,casual,Nike Women Purple Polo T-shirt
4943,men,apparel,topwear,shirts,White,summer,2011.0,casual,Gini and Jony Boy's Kaleb White Brown Kidswear
11188,men,accessories,watches,watches,Silver,winter,2016.0,casual,Carrera Men Dial steel finish strap Silver Watches
10866,men,apparel,topwear,tshirts,Red,fall,2011.0,casual,Wrangler Men Motor Rider Red T-Shirts
59607,women,apparel,saree,sarees,Grey,fall,2012.0,ethnic,FNF Pink & Grey Wedding Collection Sari
15528,men,apparel,topwear,tshirts,Black,fall,2011.0,casual,Puma Men Scribble Black Tshirts
45258,men,accessories,watches,watches,Black,winter,2016.0,casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60
42841,women,accessories,bags,handbags,Beige,summer,2012.0,casual,French Connection Women Beige Handbag
22198,men,footwear,shoes,casual shoes,Black,fall,2012.0,casual,Timberland Men Black Casual Shoes
29570,men,footwear,shoes,casual shoes,Purple,summer,2012.0,casual,Vans Men Classic Slip-On Purple & Black Shoes
43993,women,personal care,fragrance,perfume and body mist,Pink,spring,2017.0,casual,Police Women Passion Perfume
6628,men,footwear,shoes,sports shoes,White,summer,2011.0,sports,ADIDAS Men's Lowell White Silver Shoe
54924,men,apparel,bottomwear,shorts,Blue,summer,2012.0,casual,Do U Speak Green Men Blue Shorts
26538,men,footwear,shoes,casual shoes,Red,fall,2012.0,casual,ID Men Red Shoes
35913,women,accessories,bags,handbags,Black,summer,2012.0,casual,Peperone Women Black & White Handbag
49495,men,footwear,shoes,casual shoes,Khaki,summer,2012.0,casual,Vans Men Khaki Shoes
9660,men,apparel,topwear,shirts,Pink,fall,2011.0,casual,Indigo Nation Men Reversible Bling Pink Shirts
2288,women,apparel,topwear,tshirts,Black,fall,2010.0,sports,Nike Women Black T-shirt
23876,men,apparel,topwear,sweatshirts,Blue,fall,2011.0,casual,ADIDAS Men Blue Sweatshirt
18237,men,apparel,topwear,tshirts,Red,fall,2011.0,casual,Manchester United Men Solid Red Tshirt
54118,women,footwear,shoes,heels,Black,winter,2012.0,casual,Rocia Women Black Flats
2872,women,footwear,shoes,heels,Brown,winter,2015.0,casual,Catwalk Women Leather Flats
49653,women,apparel,topwear,tops,Green,summer,2012.0,casual,Mineral Women Green Top
8574,women,footwear,sandal,sandals,Pink,fall,2011.0,casual,Crocs Dora Boots Pink Sandals
16957,men,accessories,eyewear,sunglasses,Black,winter,2016.0,casual,Image Men Sunglasses
19123,men,footwear,flip flops,flip flops,Silver,fall,2011.0,casual,Lotto Men XL Water Man Silver Slippers
13419,men,apparel,topwear,tshirts,Pink,summer,2011.0,casual,United Colors of Benetton Men Solid Pink Polo T-shirts
17885,men,apparel,innerwear,innerwear vests,Grey,summer,2016.0,casual,Levis Men Comfort Style Grey Innerwear Vest
43369,men,footwear,flip flops,flip flops,Black,summer,2013.0,casual,Reebok Men Black Possession Flip Flops
48781,women,accessories,jewellery,pendant,Silver,summer,2012.0,casual,Lucera Women Silver Pendant
44970,men,accessories,watches,watches,White,winter,2016.0,casual,Maxima Men White Dial Analog Chronograph Watch
56489,women,personal care,nails,nail polish,Bronze,spring,2017.0,unknown,Streetwear Ash Nail Polish # 31
39524,unisex,accessories,bags,laptop bag,Orange,summer,2012.0,casual,Peter England Unisex Orange Sleeve Bag
33822,men,footwear,shoes,sports shoes,White,summer,2012.0,sports,Puma Men Axis White & Grey Sports Shoes
58513,women,apparel,topwear,tops,Off White,summer,2012.0,casual,Tonga Women Maroon Top
25947,women,accessories,scarves,scarves,Brown,summer,2012.0,casual,Femella Women Brown Scarf
52029,unisex,apparel,topwear,rain jacket,Coffee Brown,summer,2012.0,unknown,Just Natural Unisex Charcoal Rain Jacket
5865,men,apparel,topwear,tshirts,Black,summer,2011.0,casual,ADIDAS Men's Twelve Faster T-shirt
39716,women,apparel,dress,dresses,Blue,summer,2012.0,casual,Arrow Woman Women Blue Dress
25349,men,apparel,innerwear,briefs,Red,summer,2016.0,casual,Levis Men Red Brief
11940,men,footwear,sandal,sandals,Black,summer,2011.0,casual,Ganuchi Men Casual Black Sandals
55802,women,apparel,loungewear and nightwear,night suits,White,summer,2017.0,casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124
29584,men,apparel,topwear,tshirts,Black,summer,2012.0,casual,Indigo Nation Men Printed Black T-shirt
43967,women,personal care,fragrance,perfume and body mist,Red,spring,2017.0,casual,DKNY Women Red Delicious Perfume
28456,women,apparel,bottomwear,skirts,Blue,summer,2012.0,sports,Urban Yoga Women Blue Skirt With Leggings
34009,girls,apparel,topwear,tops,Black,summer,2012.0,casual,Gini and Jony Girls Black Top
19311,men,footwear,shoes,casual shoes,White,fall,2011.0,casual,Nike Men Air Rift MTR White Casual Shoe
42089,men,footwear,shoes,sports shoes,White,summer,2012.0,sports,ADIDAS Men White Corona Sports Shoes
22950,unisex,accessories,watches,watches,Black,winter,2016.0,casual,Fastrack Unisex Black Dial Watch 9915PP13
49461,men,footwear,shoes,casual shoes,Blue,summer,2012.0,casual,Vans Men Blue Era Scilla Plaid Shoes
8746,unisex,footwear,flip flops,flip flops,Navy Blue,summer,2015.0,casual,Crocs Kids Navy Blue Clogs
9694,men,apparel,topwear,tshirts,White,fall,2011.0,casual,Classic Polo Men Vulcan White Polo Tshirts
23882,men,footwear,shoes,sports shoes,Grey,fall,2011.0,sports,Fila Men Destiny Grey Sports Shoes
34835,men,footwear,shoes,sports shoes,Blue,summer,2012.0,sports,ADIDAS Men Blue Chill Sports Shoes
15984,men,apparel,topwear,shirts,Yellow,fall,2011.0,casual,Turtle Check Men Yellow Shirt
41268,men,accessories,wallets,wallets,Black,summer,2012.0,casual,Arrow Men Black Wallet
11518,women,footwear,shoes,heels,Grey,winter,2015.0,casual,Catwalk Women Gun Metal Grey Heels
14856,women,accessories,wallets,wallets,Beige,summer,2011.0,casual,United Colors of Benetton Women Solid Beige Wallets
33648,men,footwear,sandal,sandals,Brown,summer,2012.0,casual,Lotto Men Ridge Brown Sandals
59297,men,apparel,topwear,shirts,White,fall,2012.0,casual,U.S. Polo Assn. Men White & Navy Blue Shirt
28032,men,apparel,innerwear,briefs,White,summer,2016.0,casual,Jockey ELANCE Men Bikini White Brief 1005
27846,women,apparel,topwear,blazers,Charcoal,summer,2012.0,formal,Scullers For Her Charcoal Blazer
26994,women,apparel,bottomwear,jeans,Black,summer,2012.0,casual,Jealous 21 Women Black Jeans
49839,women,footwear,flip flops,flip flops,Red,winter,2012.0,casual,iPanema Women Red Flip Flops
31923,women,accessories,bags,handbags,Blue,summer,2012.0,casual,Fabindia Women Blue Silk Sling Bag
2618,women,footwear,shoes,flats,Silver,spring,2010.0,casual,Carlton London Women Silver Wedge Sandal
54588,women,apparel,topwear,kurtas,Green,summer,2012.0,ethnic,Sushilas Women Printed Green Kurta
49005,women,accessories,jewellery,ring,Silver,summer,2012.0,casual,Lucera Women Silver Ring
8322,boys,apparel,topwear,tshirts,Blue,fall,2011.0,casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear
13841,unisex,accessories,watches,watches,White,winter,2016.0,casual,ADIDAS Unisex Three Small Dials White Watches
28200,men,accessories,eyewear,sunglasses,Copper,winter,2016.0,casual,Ray-Ban Men Active Lifestyle Copper Sunglasses
12993,unisex,footwear,shoes,sports shoes,Black,fall,2011.0,sports,ADIDAS Kids Adispeed Black Sports Shoes
7158,men,apparel,topwear,shirts,Green,fall,2011.0,casual,Scullers Men  Green Check Shirt
18495,men,footwear,sandal,sandals,White,fall,2011.0,casual,Puma Men Fashion Cat White Slipper
8110,men,accessories,watches,watches,Black,winter,2016.0,casual,Fastrack Men Economy 2 Analg Black Watch
19547,men,apparel,topwear,sweatshirts,Blue,fall,2011.0,casual,United Colors of Benetton Men Solid Blue Sweatshirt
7964,men,apparel,topwear,tshirts,Black,fall,2011.0,sports,Puma Men's Large Logo Graphic Black T-shirt
36934,women,personal care,fragrance,perfume and body mist,Gold,spring,2017.0,casual,Giorgio Armani Women Idole Perfume
39140,women,apparel,apparel set,kurta sets,Black,summer,2012.0,ethnic,Aneri Women Black & Maroon Salwar Suit
20851,women,accessories,bags,clutches,Red,winter,2015.0,casual,Spice Art Women Ribbon Embroidery Red Clutch
41866,men,footwear,sandal,sandals,Beige,fall,2015.0,casual,Estd. 1977 Men Beige & Green Sandals
58177,women,accessories,bags,handbags,Brown,summer,2012.0,casual,Rocky S Women Brown Handbag
44528,men,footwear,sandal,sandals,Black,summer,2012.0,casual,Coolers Men Black Sandals
16392,men,apparel,topwear,shirts,Red,fall,2011.0,casual,Levis Men Check Red Shirts
51455,women,apparel,topwear,shrug,Pink,summer,2012.0,casual,Tonga Women Pink Printed Shrug
50587,men,apparel,innerwear,briefs,Grey,summer,2016.0,casual,Chromozome Men Grey Briefs
17240,men,apparel,topwear,tshirts,Black,fall,2011.0,casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt
47530,women,footwear,shoes,flats,Copper,winter,2012.0,casual,Portia Women Copper-Toned & Brown Sandals
6617,men,apparel,topwear,shirts,Black,summer,2011.0,casual,Spykar Men Black and white Check Shirt
12732,unisex,accessories,bags,backpacks,Black,fall,2011.0,sports,Nike Unisex Swoosh Black Backpack
3365,men,apparel,topwear,tshirts,Black,summer,2011.0,casual,Myntra Men's Brain Black T-shirt
42042,men,footwear,shoes,sports shoes,White,summer,2012.0,sports,Nike Men Air Relentless 2 MSL White Sports Shoes
23849,men,footwear,shoes,casual shoes,Black,fall,2011.0,casual,ADIDAS Men Black Anzo Breeze Casual Shoes
43190,women,accessories,watches,watches,White,winter,2016.0,casual,Fastrack Women White Dial Watch
48578,men,accessories,jewellery,bracelet,Steel,summer,2012.0,casual,Revv Men Steel Bracelet
30462,women,apparel,innerwear,bra,Black,summer,2014.0,casual,Lovable Women All Day Long Black Bra
18208,men,accessories,headwear,caps,White,fall,2011.0,casual,Manchester United Men Solid White Cap
54127,women,footwear,shoes,heels,Black,winter,2012.0,casual,Rocia Women Black Heels
10065,men,apparel,topwear,tshirts,Yellow,fall,2011.0,casual,Puma Men ducati logo tee Yellow Tshirts
24250,men,footwear,shoes,casual shoes,White,fall,2012.0,casual,Numero Uno Men White Casual Shoes
32335,men,accessories,watches,watches,Silver,winter,2016.0,casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y
25382,men,apparel,innerwear,innerwear vests,White,summer,2016.0,casual,Levis Men White Innerwear Vest
56670,men,accessories,watches,watches,Black,winter,2016.0,casual,Maxima Men Black Dial Watch
5092,men,apparel,topwear,tshirts,Purple,summer,2011.0,casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt
10859,men,apparel,topwear,tshirts,Navy Blue,fall,2011.0,casual,Wrangler Men Furious Rides Navy Blue T-Shirts
59638,women,apparel,saree,sarees,Green,fall,2012.0,ethnic,FNF Green Wedding Collection Sari
15517,men,footwear,shoes,casual shoes,Red,fall,2011.0,casual,Rockport Men LLandro Red Casual Shoes
4140,women,footwear,shoes,casual shoes,Green,winter,2015.0,casual,Skechers Women Green Shoe
36795,men,accessories,watches,watches,Silver,winter,2016.0,casual,Maxima Men Ssteele Silver Dial Watch
40527,men,accessories,watches,watches,Gold,winter,2016.0,casual,Titan Men Gold Dial Watch
10257,men,apparel,bottomwear,trousers,Black,fall,2011.0,formal,John Miller Men Solid Type Black Trousers
24062,men,apparel,topwear,tshirts,Navy Blue,summer,2012.0,casual,Locomotive Men Navy Blue Printed T-shirt
45869,men,accessories,watches,watches,Brown,winter,2016.0,casual,Maxima Men Brown Dial Watch
11385,women,apparel,topwear,sweatshirts,Black,fall,2011.0,casual,United Colors Of Benetton Women Light Winter Black Sweatshirts
53130,women,footwear,shoes,flats,Brown,winter,2015.0,casual,Catwalk Women Brown Sandals
44187,women,personal care,fragrance,perfume and body mist,White,spring,2017.0,casual,Nike Fragrances Women 5th Element Perfume 150 ml
21510,women,accessories,bags,handbags,White,winter,2015.0,casual,Kiara Women Graphiti White Handbag
51667,men,accessories,eyewear,sunglasses,Grey,winter,2016.0,casual,Louis Philippe Men Grey Sunglasses
22395,men,apparel,topwear,shirts,Blue,fall,2011.0,casual,Mark Taylor Men Striped Blue Shirt
35322,women,accessories,jewellery,earrings,Silver,winter,2016.0,ethnic,Fabindia Women Anusuya Silver Earrings
6425,unisex,footwear,shoes,casual shoes,Black,summer,2011.0,casual,Lotto Unisex Canvas Black Check Shoe
18806,men,accessories,belts,belts,Tan,summer,2011.0,casual,Peter England Men Casual Tan Belt
23247,men,footwear,shoes,formal shoes,Black,fall,2011.0,formal,Arrow Men Formal Black Shoe
17072,women,accessories,belts,belts,Grey,winter,2015.0,casual,Lino Perros Women Weaved  Grey Belt
31782,women,apparel,topwear,tops,Blue,summer,2012.0,casual,Lee Women Paula Blue Top
42270,unisex,footwear,shoes,casual shoes,Black,summer,2012.0,casual,Vans Unisex Black & Grey Classic Shoes
12500,men,apparel,topwear,shirts,Black,fall,2011.0,casual,United Colors of Benetton Men Short Black Shirts
26735,men,personal care,fragrance,deodorant,Black,spring,2017.0,casual,Reebok Men Pack of 2 Pirates of the Caribbean Deos
30650,men,apparel,topwear,tshirts,Black,summer,2012.0,casual,Nike Men Printed Black T-shirt
56026,women,personal care,lips,lipstick,Brown,spring,2017.0,casual,Colorbar Soft Touch Mousse Lipstick 025
21948,women,accessories,bags,handbags,Brown,winter,2015.0,casual,Murcia Women Casual Brown Handbag
32563,women,apparel,bottomwear,trousers,Blue,summer,2012.0,casual,ONLY Women directoire blue Trousers
58980,women,personal care,fragrance,deodorant,Pink,spring,2017.0,casual,Colour me Women Flowers Deo
40143,girls,apparel,topwear,tops,Blue,summer,2012.0,casual,Gini and Jony Girls Pretty Blossom Blue Top
10633,men,footwear,shoes,formal shoes,Brown,fall,2011.0,formal,Carlton London Men Formal Brown Formal Shoes
24406,women,apparel,topwear,kurtas,Red,summer,2012.0,ethnic,Vishudh Women Red Printed Kurta
4716,unisex,accessories,watches,watches,Black,winter,2016.0,sports,ADIDAS Unisex Response ST Analogue Black Watch
21174,women,apparel,topwear,tops,Beige,fall,2011.0,casual,s.Oliver Women Stripes Beige Top
15341,women,apparel,bottomwear,shorts,Pink,fall,2011.0,sports,Nike Women Solid Pink Shorts
52486,women,apparel,innerwear,camisoles,Maroon,winter,2015.0,casual,Red Rose Maroon Camisole
53554,men,apparel,innerwear,boxers,Multi,summer,2016.0,casual,Probase Multicoloured Printed Boxers
14293,men,apparel,topwear,tshirts,Blue,fall,2011.0,casual,Classic Polo Men Stripes Blue Tshirts
47366,women,accessories,bags,handbags,Blue,summer,2012.0,casual,Baggit Women Blue Bag
6041,men,apparel,topwear,tshirts,Navy Blue,summer,2011.0,casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt
23623,girls,apparel,topwear,tops,Pink,fall,2011.0,casual,Doodle Kids Girls Pink I love Shopping Top
17416,men,footwear,shoes,sports shoes,Black,fall,2011.0,sports,Lotto Men Atlantica Black Sports Shoe
9835,women,apparel,topwear,tshirts,Grey,fall,2011.0,casual,Little Miss Women Printed Grey T-shirt
29319,unisex,accessories,bags,backpacks,Red,summer,2012.0,casual,ADIDAS Unisex Chicago Bulls Red Backpack
7193,women,apparel,bottomwear,jeans,Black,fall,2011.0,casual,Jealous 21 Women Black Jegging
12958,men,footwear,shoes,sports shoes,Black,fall,2011.0,sports,ADIDAS Men Sports Black Sports Shoes
27283,women,apparel,topwear,kurtas,Magenta,fall,2011.0,ethnic,Mother Earth Women Magenta Kurta
30234,men,footwear,flip flops,flip flops,Black,summer,2012.0,casual,Numero Uno Men Black Flip Flops
9009,women,accessories,bags,handbags,Brown,winter,2015.0,casual,Murcia Women Snake Print Bag Brown Handbags
3533,men,apparel,topwear,tshirts,Navy Blue,summer,2011.0,casual,Myntra Men's If You Don't Like Navy Blue T-shirt
42614,women,accessories,jewellery,jewellery set,Gold,winter,2016.0,casual,Estelle Women Earrings & Pendant Set
12164,women,apparel,topwear,dupatta,Orange,fall,2011.0,ethnic,Aurelia Women Voile Orange Dupatta
26351,women,accessories,watches,watches,White,winter,2016.0,casual,DKNY Women White Dial Watch NY8472
17624,men,apparel,bottomwear,track pants,Navy Blue,fall,2011.0,sports,ADIDAS Men Solid Navy Blue Track Pant
47154,girls,apparel,bottomwear,capris,Black,summer,2012.0,casual,Gini and Jony Girls Black Capris
35574,men,footwear,flip flops,flip flops,Red,summer,2013.0,casual,Gliders Men Esquire Red Flip Flops
46086,women,footwear,shoes,sports shoes,Lavender,summer,2012.0,sports,ADIDAS Women Lavender Hagkok Sports Shoes
51031,women,apparel,innerwear,bra,White,summer,2017.0,casual,Enamor White Bra
13284,men,apparel,bottomwear,shorts,Black,fall,2011.0,casual,Gini and Jony Kids Boys Solid Black Shorts
54543,men,footwear,shoes,sports shoes,White,fall,2012.0,casual,F Sports Men White Outlander Sports Shoes
55491,women,personal care,lips,lip gloss,Brown,spring,2017.0,casual,Revlon Gold Dust Poussiere Doree Colorburst Lip Gloss 024
26163,men,apparel,bottomwear,trousers,Grey,summer,2012.0,formal,John Miller Men Dark Grey Trousers
3701,women,apparel,topwear,tshirts,Black,summer,2011.0,casual,Tantra Women Flower Heart Black Long T-shirt
29917,men,accessories,watches,watches,White,winter,2016.0,casual,Police Men White Dial Watch PL12698JS
42426,women,apparel,topwear,kurtas,Sea Green,summer,2012.0,ethnic,Aurelia Women Sea Green Kurta
32751,men,footwear,shoes,casual shoes,Black,summer,2012.0,casual,FILA Men Liga II Black Shoes
56214,women,accessories,jewellery,earrings,Gold,winter,2016.0,casual,Estelle Women Gold Earrings
10401,women,apparel,topwear,tops,Purple,fall,2011.0,casual,Jealous 21 Women Uaine Purple Tops
40371,women,apparel,bottomwear,jeans,Navy Blue,summer,2012.0,casual,Tokyo Talkies Women Navy Slim Fit Jeans
21346,men,accessories,eyewear,sunglasses,Gold,winter,2016.0,casual,Pal Zileri Men Casual Gold Frame Sunglasses
45603,men,footwear,shoes,formal shoes,Black,summer,2012.0,formal,Arrow Men Black Formal Shoes
4524,men,footwear,shoes,sports shoes,Black,summer,2011.0,sports,Puma Men's YugoRun Black White Shoe
37223,women,apparel,topwear,tops,Blue,summer,2012.0,casual,United Colors of Benetton Women Blue Top
53766,men,apparel,topwear,tshirts,White,summer,2012.0,casual,Puma Men White and Navy Blue T-shirt
25520,girls,apparel,topwear,tops,White,fall,2011.0,casual,Doodle Kids Girls City Chic White Top
32597,women,apparel,topwear,tops,Black,summer,2012.0,casual,ONLY Women Black Top
58974,men,personal care,fragrance,deodorant,Gold,spring,2017.0,casual,Colour me Men Gold Deo
33445,women,accessories,wallets,wallets,Black,summer,2012.0,casual,Baggit Women Lamboo Mayur Black Wallet
57100,women,apparel,topwear,tops,Pink,summer,2012.0,casual,Elle Women Dark Pink Top
36137,women,footwear,shoes,sports shoes,Pink,summer,2012.0,sports,Nike Women Free Run Pink Sports Shoes
41859,men,footwear,sandal,sandals,Black,summer,2016.0,casual,Estd. 1977 Men Black Sandals
21180,men,footwear,flip flops,flip flops,Black,summer,2011.0,casual,ADIDAS Men Adi Cells Black Flip Flops
39943,men,footwear,shoes,casual shoes,Brown,summer,2013.0,casual,GAS Men Brown Count Casual Shoes
52472,women,apparel,loungewear and nightwear,bath robe,Pink,winter,2015.0,casual,Red Rose Women White & Pink Polka Dot Print Bath Robe
58148,unisex,accessories,headwear,caps,White,fall,2012.0,casual,Puma Unisex White Cap
20052,women,accessories,mufflers,mufflers,Yellow,fall,2011.0,casual,United Colors Of Benetton Women Yellow Muffler
5630,women,footwear,flip flops,flip flops,Blue,summer,2011.0,casual,ADIDAS Women's Adi Groove Blue Flip Flop
44517,men,footwear,flip flops,flip flops,Brown,summer,2013.0,casual,Coolers Men Brown Pokar Flip Flops
47392,women,accessories,bags,handbags,Beige,fall,2012.0,casual,Baggit Women Beige Bag
50325,women,apparel,topwear,kurtas,Navy Blue,summer,2012.0,ethnic,Aurelia Women Navy Blue Kurta
8913,men,footwear,shoes,sports shoes,White,fall,2011.0,sports,Puma Men Cabana Racer Sketch White Sports Shoes
16530,men,apparel,topwear,shirts,Red,fall,2011.0,casual,Locomotive Men Check Red Shirt
22705,men,footwear,shoes,casual shoes,White,fall,2011.0,casual,Nike Men White Capri II Casual Shoe
7167,men,apparel,topwear,shirts,Purple,fall,2011.0,casual,Scullers Men Scul Purple White Shirt
46240,women,apparel,topwear,tunics,White,summer,2012.0,casual,Fusion Beats Women White Printed Tunic
27277,women,apparel,topwear,kurtas,Green,fall,2011.0,ethnic,Mother Earth Women Blue Kurta
13042,women,footwear,shoes,flats,Brown,winter,2012.0,casual,Inc 5 Women Brown Heels
6889,women,apparel,topwear,jackets,Cream,summer,2011.0,casual,Forever New Women Stone Cream Jacket
31312,women,apparel,topwear,kurtas,Peach,summer,2012.0,ethnic,W Women Peach Kurta
12190,men,apparel,topwear,shirts,Blue,fall,2011.0,casual,Basics Men Blue Slim Fit Checked Shirt
55657,women,footwear,shoes,heels,Gold,winter,2015.0,casual,Catwalk Women Golden Wedges
19578,women,apparel,topwear,tops,Purple,summer,2011.0,casual,United Colors of Benetton Women Solid Purple Top
27879,women,apparel,topwear,tops,Blue,summer,2012.0,casual,Scullers For Her Women Blue Top
34452,women,footwear,shoes,flats,Copper,winter,2012.0,casual,Rocia Women Copper Sandals
6287,men,apparel,topwear,tshirts,Yellow,summer,2011.0,casual,Classic Polo Men's Swiss Yellow T-shirt
7355,men,apparel,topwear,tshirts,Navy Blue,fall,2011.0,casual,Tantra Men's Black Sabbath Navy T-shirt
46072,men,accessories,belts,belts,Black,summer,2012.0,casual,Lino Perros Men Black Leather Belt
22537,men,footwear,sandal,sandals,Tan,summer,2013.0,casual,Gas Men Eldorado Tan Casual  Sandals
28831,women,apparel,innerwear,briefs,Brown,summer,2017.0,casual,Enamor Women Pack of 3 Mid-Rise Bikini Brief
43500,men,apparel,topwear,tshirts,White,summer,2012.0,casual,French Connection Men White T-shirt
